SrNo,TestLinkId,TestScriptName,TestMethodName
849,12031,ma1000_comm_auth_ip,test_comm_authorized_IP_add_range_invalid_overlapping_range_subset
850,12032,ma1000_comm_auth_ip,test_comm_authorized_IP_add_range_invalid_overlapping_range_superset
851,12033,ma1000_comm_auth_ip,test_comm_authorized_IP_add_range_invalid_overlapping_range_at_start
852,12034,ma1000_comm_auth_ip,test_comm_authorized_IP_add_range_invalid_overlapping_range_at_end
853,12035,ma1000_comm_auth_ip,test_comm_authorized_IP_add_range_invalid_end_less_than_start
854,12036,ma1000_comm_auth_ip,test_comm_authorized_IP_add_range_invalid_same_start_and_end
855,12037,ma1000_comm_auth_ip,test_comm_authorized_IP_add_range_invalid_start_v4_and_end_v6
856,12038,ma1000_comm_auth_ip,test_comm_authorized_IP_add_range_invalid_empty_string
857,12039,ma1000_comm_auth_ip,test_comm_authorized_IP_get_range_list_valid_no_ip_range
858,12040,ma1000_comm_auth_ip,test_comm_authorized_IP_get_range_list_valid_one_ip_range_v4
859,12041,ma1000_comm_auth_ip,test_comm_authorized_IP_get_range_list_valid_one_ip_range_v6
860,12042,ma1000_comm_auth_ip,test_comm_authorized_IP_get_range_list_valid_max_ip_range
861,12043,ma1000_comm_auth_ip,test_comm_authorized_IP_get_range_list_valid_ip_range_type_v4
862,12044,ma1000_comm_auth_ip,test_comm_authorized_IP_get_range_list_valid_ip_range_type_v6
863,12045,ma1000_comm_auth_ip,test_comm_authorized_IP_get_range_list_valid_ip_range_type_all
864,12046,ma1000_comm_auth_ip,test_comm_authorized_IP_get_range_list_invalid_ip_range_type
865,12047,ma1000_comm_auth_ip,test_comm_authorized_IP_delete_range_valid_ip_range_v4
866,12048,ma1000_comm_auth_ip,test_comm_authorized_IP_delete_range_valid_ip_range_v6
867,12049,ma1000_comm_auth_ip,test_comm_authorized_IP_delete_range_invalid_empty_string
868,12050,ma1000_comm_auth_ip,test_comm_authorized_IP_delete_range_invalid_no_existing_range
869,12051,ma1000_comm_auth_ip,test_comm_authorized_IP_delete_range_invalid_ip_range_value
876,12058,ma1000_comm,test_comm_terminal_set_configuration_valid_serial_rs485_with_baudrate_9600
877,12059,ma1000_comm,test_comm_terminal_set_configuration_valid_serial_rs485_with_baudrate_38400
878,12060,ma1000_comm,test_comm_terminal_set_configuration_valid_serial_rs485_with_baudrate_115200
879,12061,ma1000_comm,test_comm_terminal_set_configuration_valid_serial_rs485_with_half_duplex
880,12062,ma1000_comm,test_comm_terminal_set_configuration_valid_serial_rs485_with_full_duplex
881,12063,ma1000_comm,test_comm_terminal_set_configuration_valid_serial_rs485_with_max_net_id
882,12064,ma1000_comm,test_comm_terminal_set_configuration_invalid_serial_protocol
883,12065,ma1000_comm,test_comm_terminal_set_configuration_invalid_baudrate
884,12066,ma1000_comm,test_comm_terminal_set_configuration_invalid_communication_system
885,12067,ma1000_comm,test_comm_terminal_set_configuration_invalid_net_id
886,12068,ma1000_comm_send_to_host,test_comm_send_to_host_ipchannel_valid_ip_address
887,12069,ma1000_comm_send_to_host,test_comm_send_to_host_ipchannel_valid_port
888,12070,ma1000_comm_send_to_host,test_comm_send_to_host_ipchannel_valid_timeout_small
889,12071,ma1000_comm_send_to_host,test_comm_send_to_host_ipchannel_valid_timeout_medium
890,12072,ma1000_comm_send_to_host,test_comm_send_to_host_ipchannel_valid_timeout_large
891,12073,ma1000_comm_send_to_host,test_comm_send_to_host_ipchannel_valid_tcp_protocol_with_no_data
892,12074,ma1000_comm_send_to_host,test_comm_send_to_host_ipchannel_valid_tcp_protocol_with_medium_data
893,12075,ma1000_comm_send_to_host,test_comm_send_to_host_ipchannel_valid_tcp_protocol_with_large_data
894,12076,ma1000_comm_send_to_host,test_comm_send_to_host_ipchannel_udp_protocol_with_no_data
895,12077,ma1000_comm_send_to_host,test_comm_send_to_host_ipchannel_udp_protocol_with_large_data
896,12078,ma1000_comm_send_to_host,test_comm_send_to_host_ipchannel_udp_protocol_with_medium_data
897,12079,ma1000_comm_send_to_host,test_comm_send_to_host_ipchannel_valid_ssl_protocol_with_no_data
898,12080,ma1000_comm_send_to_host,test_comm_send_to_host_ipchannel_valid_ssl_protocol_with_sslv3
899,12081,ma1000_comm_send_to_host,test_comm_send_to_host_ipchannel_valid_ssl_protocol_with_tlsv1
900,12082,ma1000_comm_send_to_host,test_comm_send_to_host_ipchannel_valid_ssl_protocol_with_sslv23
901,12083,ma1000_comm_send_to_host,test_comm_send_to_host_ipchannel_valid_ssl_protocol_with_large_data
902,12084,ma1000_comm_send_to_host,test_comm_send_to_host_ipchannel_invalid_ssl_protocol_server_client
903,12085,ma1000_comm_send_to_host,test_comm_send_to_host_ipchannel_invalid_ipaddress
904,12086,ma1000_comm_send_to_host,test_comm_send_to_host_ipchannel_invalid_port
905,12087,ma1000_comm_send_to_host,test_comm_send_to_host_ipchannel_invalid_timeout_upper
906,12088,ma1000_comm_send_to_host,test_comm_send_to_host_ipchannel_invalid_protocol
907,12089,ma1000_comm_send_to_host,test_comm_send_to_host_ipchannel_invalid_channel_for_listen
908,12090,ma1000_comm_send_to_host,test_comm_send_to_host_serial_channel_valid_with_no_data
909,12091,ma1000_comm_send_to_host,test_comm_send_to_host_serial_channel_valid_with_medium_data
910,12092,ma1000_comm_send_to_host,test_comm_send_to_host_serial_channel_valid_with_large_data
911,12093,ma1000_comm_send_to_host,test_comm_send_to_host_serial_channel_valid_baudrate_9600
912,12094,ma1000_comm_send_to_host,test_comm_send_to_host_serial_channel_valid_baudrate_19200
913,12095,ma1000_comm_send_to_host,test_comm_send_to_host_serial_channel_valid_baudrate_38400
914,12096,ma1000_comm_send_to_host,test_comm_send_to_host_serial_channel_valid_baudrate_57600
915,12097,ma1000_comm_send_to_host,test_comm_send_to_host_serial_channel_valid_baudrate_115200
916,12098,ma1000_comm_send_to_host,test_comm_send_to_host_serial_channel_valid_rs485_with_halfduplex
917,12099,ma1000_comm_send_to_host,test_comm_send_to_host_serial_channel_valid_rs485_with_fullduplex
920,12102,ma1000_comm_send_to_host,test_comm_send_to_host_serial_channel_valid_databits_7
921,12103,ma1000_comm_send_to_host,test_comm_send_to_host_serial_channel_valid_databits_8
922,12104,ma1000_comm_send_to_host,test_comm_send_to_host_serial_channel_valid_no_parity
923,12105,ma1000_comm_send_to_host,test_comm_send_to_host_serial_channel_valid_odd_parity
